T,g,feh,cfe
4000.0,0.0,-2.0,0.5700000000000003
4000.0,0.0,-2.0833333333333335,0.6533333333333338
4000.0,0.0,-2.1666666666666665,0.7366666666666668
4000.0,0.0,-2.25,0.8200000000000003
4000.0,0.0,-2.3333333333333335,0.9033333333333338
4000.0,0.0,-2.4166666666666665,0.9866666666666668
4000.0,0.0,-2.5,1.0700000000000003
4000.0,0.0,-2.583333333333333,1.1533333333333333
4000.0,0.0,-2.6666666666666665,1.2366666666666668
4000.0,0.0,-2.75,1.3200000000000003
4000.0,0.0,-2.833333333333333,1.4033333333333333
4000.0,0.0,-2.9166666666666665,1.4866666666666668
4000.0,0.0,-3.0,1.5700000000000003
4000.0,0.0,-3.083333333333333,1.6533333333333333
4000.0,0.0,-3.1666666666666665,1.7366666666666668
4000.0,0.0,-3.25,1.8200000000000003
4000.0,0.0,-3.333333333333333,1.9033333333333333
4000.0,0.0,-3.4166666666666665,1.9866666666666668
4000.0,0.0,-3.5,2.0700000000000003
4000.0,0.0,-3.583333333333333,2.1533333333333333
4000.0,0.0,-3.6666666666666665,2.236666666666667
4000.0,0.0,-3.75,2.3200000000000003
4000.0,0.0,-3.833333333333333,2.4033333333333333
4000.0,0.0,-3.9166666666666665,2.486666666666667
4000.0,0.0,-4.0,2.5700000000000003
