4200.0,0.2,-2.0,1.0700000000000005
4200.0,0.2,-2.083333333333333,1.1533333333333338
4200.0,0.2,-2.1666666666666665,1.2366666666666668
4200.0,0.2,-2.25,1.3200000000000005
4200.0,0.2,-2.333333333333333,1.4033333333333338
4200.0,0.2,-2.4166666666666665,1.4866666666666668
4200.0,0.2,-2.5,1.5700000000000005
4200.0,0.2,-2.583333333333333,1.653333333333333
4200.0,0.2,-2.6666666666666665,1.7366666666666668
4200.0,0.2,-2.75,1.8200000000000005
4200.0,0.2,-2.833333333333333,1.903333333333333
4200.0,0.2,-2.9166666666666665,1.9866666666666668
4200.0,0.2,-3.0,2.0700000000000003
4200.0,0.2,-3.083333333333333,2.1533333333333333
4200.0,0.2,-3.1666666666666665,2.236666666666667
4200.0,0.2,-3.25,2.3200000000000003
4200.0,0.2,-3.333333333333333,2.4033333333333333
4200.0,0.2,-3.4166666666666665,2.486666666666667
4200.0,0.2,-3.5,2.5700000000000003
4200.0,0.2,-3.583333333333333,2.6533333333333333
4200.0,0.2,-3.6666666666666665,2.736666666666667
4200.0,0.2,-3.75,2.8200000000000003
4200.0,0.2,-3.833333333333333,2.9033333333333333
4200.0,0.2,-3.9166666666666665,2.986666666666667
4200.0,0.2,-4.0,3.0700000000000003
4300.0,0.3,-2.0,1.0700000000000005
4300.0,0.3,-2.083333333333333,1.1533333333333338
4300.0,0.3,-2.1666666666666665,1.2366666666666668
4300.0,0.3,-2.25,1.3200000000000005
4300.0,0.3,-2.333333333333333,1.4033333333333338
4300.0,0.3,-2.4166666666666665,1.4866666666666668
4300.0,0.3,-2.5,1.5700000000000005
4300.0,0.3,-2.583333333333333,1.653333333333333
4300.0,0.3,-2.6666666666666665,1.7366666666666668
4300.0,0.3,-2.75,1.8200000000000005
4300.0,0.3,-2.833333333333333,1.903333333333333
4300.0,0.3,-2.9166666666666665,1.9866666666666668
4300.0,0.3,-3.0,2.0700000000000003
4300.0,0.3,-3.083333333333333,2.1533333333333333
4300.0,0.3,-3.1666666666666665,2.236666666666667
4300.0,0.3,-3.25,2.3200000000000003
4300.0,0.3,-3.333333333333333,2.4033333333333333
4300.0,0.3,-3.4166666666666665,2.486666666666667
4300.0,0.3,-3.5,2.5700000000000003
